time,apparentTemperature,cloudCover,dewPoint,humidity,precipIntensity,precipProbability,pressure,temperature,visibility,windBearing,windSpeed
1488819600,-12.73,0.92,-7.22,0.91,0.4343,0.58,1023.21,-5.97,7.54,237,12.35
1488823200,-12.63,0.98,-7.03,0.9,0.3175,0.54,1023.48,-5.63,7.5,232,13.56
1488826800,-11.71,0.92,-6.4,0.89,0.2845,0.52,1023.32,-4.88,8.14,237,13.71
1488830400,-10.64,0.85,-5.71,0.89,0.2794,0.52,1022.93,-4.23,8.01,230,12.71
1488834000,-9.47,0.81,-5.67,0.89,0.1499,0.27,1022.61,-4.08,8.68,234,9.43
1488837600,-9.18,0.83,-5.58,0.88,0.1524,0.27,1022.44,-3.96,8.87,241,9.03
1488841200,-8.17,0.89,-4.81,0.88,0.1524,0.27,1022.36,-3.15,8.2,241,8.99
1488844800,-8.47,0.93,-5.23,0.88,0.1676,0.31,1022.58,-3.48,7.63,244,8.68
1488848400,-7.02,0.86,-5.04,0.88,0.1245,0.2,1023.31,-3.37,7.81,251,5.62
1488852000,-8.08,0.78,-5.93,0.89,0.0991,0.15,1024.29,-4.33,8.37,246,5.46
1488855600,-8.26,0.74,-6.47,0.9,0.0889,0.12,1025.15,-5.07,7.7,238,4.32
1488859200,-7.77,0.77,-6.42,0.9,0.066,0.08,1025.77,-4.97,7.77,249,3.8
1488862800,-5.41,0.84,-6.69,0.91,0.061,0.07,1026.28,-5.41,6.74,218,2.63
1488866400,-5.5,0.89,-6.84,0.9,0.0508,0.05,1026.72,-5.5,6.52,226,2.76
1488870000,-8.32,0.8,-6.57,0.9,0.0381,0.03,1027.02,-5.24,7.77,210,4.11
1488873600,-8.14,0.71,-7.03,0.91,0.0229,0.01,1027.22,-5.75,7.97,205,3.17
1488877200,-9.6,0.64,-7.32,0.91,0,0,1027.45,-6.1,8.98,207,4.53
1488880800,-10.29,0.66,-7.14,0.91,0,0,1027.81,-5.93,9.18,231,6.06
1488884400,-10.52,0.74,-7.53,0.91,0,0,1028.21,-6.27,8.57,230,5.74
1488888000,-8.89,0.8,-7.51,0.9,0,0,1028.49,-6.08,7.76,245,3.59
1488891600,-9.02,0.75,-7.89,0.88,0,0,1028.85,-6.3,8.87,223,3.46
1488895200,-10.65,0.66,-8.22,0.87,0,0,1029.02,-6.38,9.18,222,5.73
1488898800,-9.32,0.55,-7.15,0.86,0,0,1028.94,-5.24,9.63,216,5.77
1488902400,-7.17,0.62,-5.97,0.84,0,0,1028.49,-3.69,9.78,224,5.17
1488906000,-6.17,0.74,-4.04,0.84,0,0,1027.73,-1.69,10,225,8.38
1488909600,-4.73,0.81,-3.21,0.83,0,0,1026.98,-0.75,9.98,230,7.55
1488913200,-3.94,0.76,-2.34,0.83,0,0,1026.41,0.13,10,225,8.36
1488916800,-4.09,0.66,-2.2,0.83,0,0,1025.93,0.39,10,230,9.91
1488920400,-3.99,0.44,-2.48,0.8,0,0,1025.56,0.53,9.95,240,10.2
1488924000,-3.27,0.51,-2.26,0.8,0,0,1025.25,0.81,9.85,235,8.9
1488927600,-3.61,0.72,-1.82,0.84,0,0,1025.06,0.58,9.75,237,9.1
1488931200,-3.64,0.73,-1.76,0.85,0.0203,0.01,1025.15,0.45,9.8,237,8.68
1488934800,-2.13,0.83,-2.13,0.86,0,0,1025.58,-0.07,9.73,236,3.8
1488938400,-0.34,0.82,-2.38,0.86,0,0,1026.28,-0.34,9.76,232,2.81
1488942000,-1.14,0.82,-3.01,0.87,0,0,1026.99,-1.14,9.43,33,0.35
1488945600,-1.36,0.84,-3.43,0.86,0,0,1027.64,-1.36,9.25,234,2.32
1488949200,-4.36,0.82,-4.39,0.87,0,0,1028.35,-2.48,9.04,242,3.09
1488952800,-5.16,0.81,-5.27,0.85,0,0,1028.89,-3.17,8.98,239,3.09
1488956400,-4.87,0.81,-5.08,0.84,0,0,1029.16,-2.76,9.03,239,3.3
